id	filename	md5	size	state
07ca4c5c-554d-4a80-a54b-61e555d81269	TCGA-06-0213-01Z-00-DX1.16219fe9-0be9-46b2-9190-02b981c4bc39.svs	7fe9ac35b0d4e3981ea545aae49d6d7d	479171991	validated
082dd8ea-6e27-4b61-8565-6fd0a639dc32	TCGA-06-0188-01Z-00-DX4.c3e0e229-4c7c-4e4b-b2fa-9e9a835d6cf3.svs	d5e9f18ab2ca02bef4d39458918950c7	820491279	validated
0852a6de-980b-49a9-bf1e-a587cb63739d	TCGA-14-1402-01Z-00-DX2.740c528c-6705-4bff-9130-3236f3d76b46.svs	ca32a6c282e233866d3012296bbb25ad	39106017	validated
0878850d-6217-4990-928c-c63e05a5875b	TCGA-06-0747-01Z-00-DX1.d00990ff-e213-4c7b-9643-6eb4b47d4613.svs	4ac27dcfdfd90c628127848499ab8494	209484387	validated
0915f480-1a63-40cf-8f6e-ccf774dd4345	TCGA-12-0707-01Z-00-DX1.96127c4a-82dd-4c27-9697-4d3b66bb29cb.svs	5fea0f2cbce57de0f0ece3cd09a88de9	208361985	validated
09333455-e8b3-4dbf-a9e9-919a925dfdf7	TCGA-14-1454-01Z-00-DX2.91c3b5b3-8640-408a-956b-7df581d85121.svs	a490cf40a3e1e7551b5ba54ee50ab303	441265209	validated
09b7a139-8fff-4f77-b39e-86fc530aa070	TCGA-12-3653-01Z-00-DX4.47B8A4CF-3B51-4C0B-944B-E84326CFF973.svs	d891ea364de671a425b9acc2a93e7674	260524726	validated
09e530e6-604b-4440-ba0d-110e919bc342	TCGA-08-0386-01Z-00-DX1.F3BE4054-6C0D-4E04-B9F7-8662AADDC8DF.svs	fbfa4a4b9a577e080c4460908c8f4e33	81581301	validated
09ebc7db-1164-4035-8782-27296be5e5bb	TCGA-19-5952-01Z-00-DX1.286b1d55-5634-4a8a-a8f1-08bbfc861dbd.svs	66f19715b856221aab15462054d8c43c	875238897	validated
09f7d4a4-19ab-4017-92eb-170829e9b645	TCGA-41-3915-01Z-00-DX1.0f98e7eb-cdb0-49c2-967c-242268cfbd33.svs	18779c337e210f5d2a4a1e66bc9b1ac2	440959509	validated
0aeb8fce-006b-4413-9f67-557a9d2ff9d9	TCGA-06-0206-01Z-00-DX1.5ede33b2-4778-4e33-bb83-17f81bb35aca.svs	bab079725a1592efe72b84ede857d25a	85102657	validated
